block_name,x,y,width,height,type,layer
bk1,605.000000,248.500000,336.000000,133.000000,HARD,2
bk10a,108.000000,0.000000,378.000000,119.000000,HARD,0
bk10b,125.500000,108.500000,140.000000,161.000000,HARD,1
bk10c,182.000000,129.500000,49.000000,119.000000,HARD,2
bk11,6.500000,409.500000,119.000000,175.000000,HARD,2
bk12,920.000000,119.000000,140.000000,406.000000,HARD,1
bk13,1186.000000,0.000000,140.000000,497.000000,HARD,0
bk14a,265.500000,290.500000,196.000000,119.000000,HARD,2
bk14b,234.000000,448.000000,294.000000,119.000000,HARD,1
bk14c,300.500000,329.000000,161.000000,119.000000,HARD,1
bk15a,304.000000,378.000000,119.000000,266.000000,HARD,0
bk15b,265.500000,129.500000,336.000000,119.000000,HARD,1
bk16,318.000000,714.000000,119.000000,126.000000,HARD,1
bk17a,738.000000,322.000000,182.000000,371.000000,HARD,0
bk17b,423.000000,682.500000,182.000000,203.000000,HARD,0
bk18,738.000000,406.000000,203.000000,182.000000,HARD,1
bk19,24.000000,714.000000,84.000000,119.000000,HARD,1
bk2,738.000000,584.500000,294.000000,133.000000,HARD,2
bk20,556.000000,332.500000,182.000000,350.000000,HARD,0
bk21,1186.000000,643.500000,315.000000,140.000000,HARD,2
bk3,108.000000,693.000000,315.000000,133.000000,HARD,0
bk4,626.000000,693.000000,560.000000,133.000000,HARD,0
bk5a,605.000000,528.500000,140.000000,133.000000,HARD,1
bk5b,605.000000,584.500000,175.000000,133.000000,HARD,2
bk5c,1011.000000,503.500000,231.000000,133.000000,HARD,1
bk6,920.000000,734.500000,315.000000,133.000000,HARD,1
bk7,1207.000000,710.000000,98.000000,182.000000,HARD,0
bk8a,108.000000,668.500000,210.000000,210.000000,HARD,1
bk8b,150.000000,584.500000,378.000000,126.000000,HARD,2
bk9a,0.000000,129.500000,119.000000,182.000000,HARD,2
bk9b,108.000000,378.000000,119.000000,119.000000,HARD,0
bk9c,6.500000,259.000000,119.000000,357.000000,HARD,1
bk9d,24.000000,378.000000,119.000000,84.000000,HARD,0
