block_name,x,y,width,height,type,layer
bk1,525.000000,420.000000,336.000000,133.000000,HARD,1
bk10a,0.000000,0.000000,119.000000,378.000000,HARD,1
bk10b,119.000000,119.000000,161.000000,140.000000,HARD,1
bk10c,119.000000,0.000000,49.000000,119.000000,HARD,1
bk11,0.000000,378.000000,119.000000,175.000000,HARD,1
bk12,182.000000,0.000000,140.000000,406.000000,HARD,0
bk13,805.000000,0.000000,497.000000,140.000000,HARD,1
bk14a,609.000000,553.000000,119.000000,196.000000,HARD,1
bk14b,399.000000,301.000000,294.000000,119.000000,HARD,1
bk14c,441.000000,350.000000,161.000000,119.000000,HARD,0
bk15a,805.000000,140.000000,266.000000,119.000000,HARD,1
bk15b,280.000000,0.000000,336.000000,119.000000,HARD,1
bk16,399.000000,420.000000,126.000000,119.000000,HARD,1
bk17a,623.000000,0.000000,182.000000,371.000000,HARD,0
bk17b,399.000000,119.000000,203.000000,182.000000,HARD,1
bk18,602.000000,119.000000,203.000000,182.000000,HARD,1
bk19,322.000000,469.000000,84.000000,119.000000,HARD,0
bk2,994.000000,259.000000,294.000000,133.000000,HARD,1
bk20,441.000000,0.000000,182.000000,350.000000,HARD,0
bk21,1176.000000,532.000000,140.000000,315.000000,HARD,1
bk3,728.000000,574.000000,315.000000,133.000000,HARD,1
bk4,567.000000,469.000000,560.000000,133.000000,HARD,0
bk5a,861.000000,259.000000,133.000000,140.000000,HARD,1
bk5b,861.000000,399.000000,133.000000,175.000000,HARD,1
bk5c,994.000000,399.000000,231.000000,133.000000,HARD,1
bk6,1043.000000,532.000000,133.000000,315.000000,HARD,1
bk7,1127.000000,469.000000,182.000000,98.000000,HARD,0
bk8a,399.000000,553.000000,210.000000,210.000000,HARD,1
bk8b,441.000000,469.000000,126.000000,378.000000,HARD,0
bk9a,0.000000,0.000000,182.000000,119.000000,HARD,0
bk9b,0.000000,119.000000,119.000000,119.000000,HARD,0
bk9c,322.000000,0.000000,119.000000,357.000000,HARD,0
bk9d,280.000000,119.000000,119.000000,84.000000,HARD,1
