block_name,x,y,width,height,type,layer
M001,0.000000,35.000000,1708.000000,3234.000000,HARD,0
M002,2198.000000,1981.000000,672.000000,1554.000000,HARD,0
M003,4328.000000,4998.000000,1008.000000,2184.000000,HARD,0
M004,1248.000000,6063.000000,3080.000000,1610.000000,HARD,0
M005,716.000000,5831.000000,532.000000,1386.000000,HARD,0
M006,2212.000000,0.000000,1862.000000,882.000000,HARD,0
M007,2870.000000,1947.000000,350.000000,868.000000,HARD,0
M008,2760.000000,882.000000,1246.000000,644.000000,HARD,0
M009,2298.000000,967.000000,462.000000,980.000000,HARD,0
M010,4720.000000,2212.000000,616.000000,294.000000,HARD,0
M011,4342.000000,3640.000000,378.000000,826.000000,HARD,0
M012,4720.000000,3654.000000,406.000000,798.000000,HARD,0
M013,4076.000000,3717.000000,266.000000,672.000000,HARD,0
M014,2.000000,3269.000000,406.000000,924.000000,HARD,0
M015,2760.000000,1541.000000,840.000000,406.000000,HARD,0
M016,3220.000000,1974.000000,322.000000,798.000000,HARD,0
M017,3278.000000,4158.000000,756.000000,392.000000,HARD,0
M018,898.000000,3535.000000,1078.000000,392.000000,HARD,0
M019,2870.000000,2815.000000,392.000000,826.000000,HARD,0
M020,3278.000000,3640.000000,798.000000,252.000000,HARD,0
M021,4382.000000,2751.000000,392.000000,826.000000,HARD,0
M022,4018.000000,2688.000000,364.000000,952.000000,HARD,0
M023,4774.000000,2506.000000,490.000000,1134.000000,HARD,0
M024,3278.000000,3892.000000,798.000000,266.000000,HARD,0
M025,1486.000000,4683.000000,322.000000,784.000000,HARD,0
M026,1808.000000,4369.000000,728.000000,350.000000,HARD,0
M027,968.000000,4319.000000,840.000000,364.000000,HARD,0
M028,408.000000,4263.000000,518.000000,1064.000000,HARD,0
M029,1708.000000,2541.000000,490.000000,994.000000,HARD,0
M030,1976.000000,3641.000000,1302.000000,728.000000,HARD,0
M031,926.000000,3927.000000,1050.000000,392.000000,HARD,0
M032,2361.000000,5671.000000,784.000000,378.000000,HARD,0
M033,1808.000000,4719.000000,1890.000000,952.000000,HARD,0
M034,926.000000,4683.000000,560.000000,1148.000000,HARD,0
M035,1486.000000,5671.000000,854.000000,392.000000,HARD,0
M036,408.000000,3269.000000,448.000000,994.000000,HARD,0
M037,156.000000,5327.000000,560.000000,1218.000000,HARD,0
M038,4272.000000,1337.000000,448.000000,966.000000,HARD,0
M039,4720.000000,1428.000000,364.000000,784.000000,HARD,0
M040,3626.000000,2772.000000,392.000000,868.000000,HARD,0
M041,3262.000000,2779.000000,364.000000,854.000000,HARD,0
M042,4272.000000,2338.000000,378.000000,168.000000,HARD,0
M043,4328.000000,4466.000000,910.000000,532.000000,HARD,0
M044,3698.000000,4550.000000,630.000000,1302.000000,HARD,0
M045,3600.000000,1526.000000,672.000000,1162.000000,HARD,0
M046,1708.000000,1.000000,504.000000,1204.000000,HARD,0
M047,4802.000000,245.000000,434.000000,812.000000,HARD,0
M048,4074.000000,0.000000,728.000000,1302.000000,HARD,0
M049,1820.000000,1205.000000,392.000000,742.000000,HARD,0
