block_name,x,y,width,height,type,layer
bk1,679.000000,0.000000,336.000000,133.000000,HARD,0
bk10a,357.000000,952.000000,378.000000,119.000000,HARD,0
bk10b,560.000000,133.000000,161.000000,140.000000,HARD,0
bk10c,973.000000,903.000000,119.000000,49.000000,HARD,0
bk11,0.000000,266.000000,175.000000,119.000000,HARD,0
bk12,721.000000,133.000000,406.000000,140.000000,HARD,0
bk13,735.000000,952.000000,497.000000,140.000000,HARD,0
bk14a,1113.000000,609.000000,119.000000,196.000000,HARD,0
bk14b,357.000000,777.000000,294.000000,119.000000,HARD,0
bk14c,0.000000,686.000000,119.000000,161.000000,HARD,0
bk15a,175.000000,266.000000,266.000000,119.000000,HARD,0
bk15b,1113.000000,273.000000,119.000000,336.000000,HARD,0
bk16,0.000000,0.000000,119.000000,126.000000,HARD,0
bk17a,441.000000,406.000000,182.000000,371.000000,HARD,0
bk17b,651.000000,770.000000,203.000000,182.000000,HARD,0
bk18,623.000000,406.000000,203.000000,182.000000,HARD,0
bk19,119.000000,1148.000000,119.000000,84.000000,HARD,0
bk2,301.000000,1071.000000,294.000000,133.000000,HARD,0
bk20,623.000000,588.000000,350.000000,182.000000,HARD,0
bk21,973.000000,588.000000,140.000000,315.000000,HARD,0
bk3,735.000000,273.000000,315.000000,133.000000,HARD,0
bk4,119.000000,0.000000,560.000000,133.000000,HARD,0
bk5a,119.000000,1015.000000,140.000000,133.000000,HARD,0
bk5b,560.000000,273.000000,175.000000,133.000000,HARD,0
bk5c,1232.000000,378.000000,133.000000,231.000000,HARD,0
bk6,0.000000,133.000000,315.000000,133.000000,HARD,0
bk7,0.000000,469.000000,182.000000,98.000000,HARD,0
bk8a,119.000000,686.000000,210.000000,210.000000,HARD,0
bk8b,1232.000000,0.000000,126.000000,378.000000,HARD,0
bk9a,119.000000,896.000000,182.000000,119.000000,HARD,0
bk9b,441.000000,133.000000,119.000000,119.000000,HARD,0
bk9c,0.000000,567.000000,357.000000,119.000000,HARD,0
bk9d,0.000000,385.000000,119.000000,84.000000,HARD,0
