block_name,x,y,width,height,type,layer
clkc,2317.000000,974.000000,1036.000000,462.000000,HARD,0
clkd,2947.000000,274.000000,378.000000,700.000000,HARD,0
cmp1,2345.000000,64.000000,980.000000,210.000000,HARD,0
cmp2,3325.000000,764.000000,980.000000,210.000000,HARD,0
cmp3,2416.000000,2990.000000,980.000000,210.000000,HARD,0
cntd,1484.000000,1898.000000,3304.000000,546.000000,HARD,0
cntu,92.000000,2444.000000,3304.000000,546.000000,HARD,0
npd,3396.000000,2738.000000,2016.000000,252.000000,HARD,0
nps,204.000000,3242.000000,3080.000000,462.000000,HARD,0
ppd,3396.000000,2990.000000,2016.000000,252.000000,HARD,0
pps,1596.000000,1436.000000,3080.000000,462.000000,HARD,0
