block_name,x,y,width,height,type,layer
BLKB,1799.000000,0.000000,1295.000000,616.000000,HARD,0
BLKD,1799.000000,3563.000000,1295.000000,490.000000,HARD,0
BLKLL,3731.000000,973.000000,2534.000000,1295.000000,HARD,0
BLKLR,1162.000000,616.000000,2569.000000,1295.000000,HARD,0
BLKP,1162.000000,1911.000000,756.000000,840.000000,HARD,0
BLKRC,0.000000,1624.000000,1162.000000,1939.000000,HARD,0
BLKRS,1918.000000,1911.000000,1218.000000,1652.000000,HARD,0
BLKT,5033.000000,3563.000000,1316.000000,882.000000,HARD,0
BLKUL,3136.000000,2268.000000,2114.000000,1295.000000,HARD,0
BLKUR,3094.000000,3563.000000,1939.000000,1295.000000,HARD,0
