block_name,x,y,width,height,type,layer
BLKB,2387.000000,521.000000,1295.000000,616.000000,HARD,0
BLKD,2387.000000,4084.000000,1295.000000,490.000000,HARD,0
BLKLL,4319.000000,1494.000000,2534.000000,1295.000000,HARD,0
BLKLR,1750.000000,1137.000000,2569.000000,1295.000000,HARD,0
BLKP,1750.000000,2432.000000,756.000000,840.000000,HARD,0
BLKRC,588.000000,2145.000000,1162.000000,1939.000000,HARD,0
BLKRS,2506.000000,2432.000000,1218.000000,1652.000000,HARD,0
BLKT,5621.000000,4084.000000,1316.000000,882.000000,HARD,0
BLKUL,3724.000000,2789.000000,2114.000000,1295.000000,HARD,0
BLKUR,3682.000000,4084.000000,1939.000000,1295.000000,HARD,0
