group,name,resultDir,mode,solver,feasible,status,objective,chipWidth,chipHeight,chipArea,totalWirelength,totalTsvCount,thermalCost,tsvOverlapCost,runtimeSeconds,iterations,seed,epochLength,initialTemperature,initialTemperatureUsed,epochLengthUsed,autoTemperature,totalMoves,acceptedMoves,coolingRatio,numBlocks,numNets,numLayers,objectiveMode,tsvWeight,thermalWeight,tsvKeepoutWeight,thermalTsvBenefitWeight,tsvDiameter,tsvKeepoutRadius,hasFixedOutline
out,ami33_3d_highs,out/ami33_3d_highs,SA-3D-CT-LP,highs,True,3d_lp_optimal,82980.251413,1326.0,1205.0,1597830.0,76027.0,61.0,325141.25,85.0,271.975438,20000,1,250,1000.0,1000.0,250,False,20000,5819,0.95,33,121,3,fixed-outline,100.0,1e-05,10.0,0.0,1.0,0.0,True
out,ami33_3d_highs_2L,out/ami33_3d_highs_2L,SA-3D-CT-LP,highs,True,3d_kim_construction_feasible,72979.2585,1316.0,847.0,1114652.0,67786.0,44.0,325850.0,79.0,1543.022596,100000,1,250,1000.0,1000.0,250,False,100000,29321,0.95,33,121,2,fixed-outline,100.0,1e-05,10.0,0.0,1.0,0.0,True
out,ami33_highs,out/ami33_highs,SA-CT-LP,highs,True,lp_optimal,82083.5,1326.0,1205.0,1597830.0,79552.5,,,,840.466495,100000,1,100,100.0,100.0,100,False,100000,3842,0.95,33,121,,,,,,,,,True
out,ami49_3d_highs,out/ami49_3d_highs,SA-3D-CT-LP,highs,True,3d_kim_construction_feasible,548772.2236,4676.0,5152.0,24090752.0,517307.0,260.0,22522360.0,524.0,3258.214464,50000,1,500,1000.0,1000.0,500,False,50000,12332,0.95,49,396,3,fixed-outline,100.0,1e-05,10.0,0.0,1.0,0.0,True
out,ami49_highs,out/ami49_highs,SA-CT-LP,highs,True,lp_optimal,1102933.0,5336.0,7673.0,40943128.0,1089924.0,,,,5239.57218,200000,1,100,100.0,100.0,100,False,200000,7165,0.95,49,396,,,,,,,,,True
out,apte_2d_post_3d_check,out/apte_2d_post_3d_check,SA-CT-LP,highs,True,lp_optimal,879041.0,11894.0,6314.0,75098716.0,860833.0,0.0,0.0,0.0,0.041054,50,1,100,100.0,100.0,100,False,50,18,0.95,9,96,1,free-outline-linear,1.0,0.0,0.0,0.0,1.0,0.0,True
out,apte_2d_regression_check,out/apte_2d_regression_check,SA-CT-LP,highs,False,compact_aspect_or_outline_violation,1671297061.348411,11822.0,7130.0,84290860.0,1056485.0,0.0,0.0,0.0,0.066282,20,1,100,100.0,100.0,100,False,20,7,0.95,9,96,1,free-outline-linear,1.0,0.0,0.0,,,,True
out,apte_2d_regression_check50,out/apte_2d_regression_check50,SA-CT-LP,highs,True,lp_optimal,879041.0,11894.0,6314.0,75098716.0,860833.0,0.0,0.0,0.0,0.040202,50,1,100,100.0,100.0,100,False,50,18,0.95,9,96,1,free-outline-linear,1.0,0.0,0.0,,,,True
out,apte_3d_check,out/apte_3d_check,SA-3D-CT,highs,True,3d_compact_feasible,888727.42336,6658.0,5018.0,33409844.0,885551.0,27.0,15642336.0,32.0,0.009137,100,1,100,100.0,100.0,100,False,100,22,0.95,9,96,3,fixed-outline,100.0,1e-05,10.0,,,,True
out,apte_3d_ct_script_check,out/apte_3d_ct_script_check,SA-3D-CT,none,True,3d_compact_feasible,910258.75684,6798.0,5018.0,34112364.0,904929.0,46.0,18975684.0,54.0,0.002139,20,1,100,100.0,100.0,100,False,20,8,0.95,9,96,3,fixed-outline,100.0,1e-05,10.0,0.0,1.0,0.0,True
out,apte_3d_highs,out/apte_3d_highs,SA-3D-CT-LP,highs,True,3d_lp_optimal,689278.0519,11894.0,6314.0,75098716.0,685919.0,28.0,10905190.0,45.0,0.096291,1000,1,100,100.0,100.0,100,False,1000,174,0.95,9,96,3,fixed-outline,100.0,1e-05,10.0,0.0,1.0,0.0,True
out,apte_3d_kim_ct_smoke,out/apte_3d_kim_ct_smoke,SA-3D-CT,none,True,3d_kim_construction_feasible,897991.1142,7090.0,3664.0,25977760.0,892573.0,45.0,26811420.0,65.0,0.037584,20,1,10,1000.0,1000.0,10,False,20,11,0.95,9,96,3,fixed-outline,100.0,1e-05,10.0,0.0,1.0,0.0,True
